2026-03-20 10:52:49 | INFO | noisyvideo | processed video=sample_blazes.mp4 noise=snow psnr=16.552263259887695 ssim=0.6986125707626343
2026-03-20 10:52:49 | INFO | noisyvideo | start noise=fog
2026-03-20 10:56:07 | INFO | noisyvideo | processed video=sample_blazes.mp4 noise=fog psnr=11.56773853302002 ssim=0.7470592260360718
2026-03-20 10:56:07 | INFO | noisyvideo | start noise=rain
2026-03-20 10:56:11 | INFO | noisyvideo | processed video=sample_blazes.mp4 noise=rain psnr=24.678857803344727 ssim=0.7265547513961792
2026-03-20 10:56:11 | INFO | noisyvideo | start noise=rolling_shutter
2026-03-20 10:56:14 | INFO | noisyvideo | processed video=sample_blazes.mp4 noise=rolling_shutter psnr=17.756765365600586 ssim=0.761419415473938
2026-03-20 10:56:14 | INFO | noisyvideo | start noise=resolution_degrade
2026-03-20 10:56:18 | INFO | noisyvideo | processed video=sample_blazes.mp4 noise=resolution_degrade psnr=30.054264068603516 ssim=0.9250411987304688
2026-03-20 10:56:18 | INFO | noisyvideo | start noise=stretch_squish
2026-03-20 10:56:21 | INFO | noisyvideo | processed video=sample_blazes.mp4 noise=stretch_squish psnr=26.409244537353516 ssim=0.8834369778633118
2026-03-20 10:56:21 | INFO | noisyvideo | start noise=edge_sawtooth
2026-03-20 10:56:25 | INFO | noisyvideo | processed video=sample_blazes.mp4 noise=edge_sawtooth psnr=30.535978317260742 ssim=0.9454027414321899
2026-03-20 10:56:25 | INFO | noisyvideo | start noise=color_quantization
2026-03-20 10:56:29 | INFO | noisyvideo | processed video=sample_blazes.mp4 noise=color_quantization psnr=32.3510856628418 ssim=0.8258851170539856
2026-03-20 10:56:29 | INFO | noisyvideo | start noise=elastic_transform
2026-03-20 10:56:33 | INFO | noisyvideo | processed video=sample_blazes.mp4 noise=elastic_transform psnr=30.683456420898438 ssim=0.9321228861808777
2026-03-20 10:56:33 | INFO | noisyvideo | start noise=random_block
2026-03-20 10:56:36 | INFO | noisyvideo | processed video=sample_blazes.mp4 noise=random_block psnr=13.4170560836792 ssim=0.7680032849311829
2026-03-20 10:56:36 | INFO | noisyvideo | start noise=target_block
2026-03-20 10:56:40 | INFO | noisyvideo | processed video=sample_blazes.mp4 noise=target_block psnr=13.91810417175293 ssim=0.841552197933197
2026-03-20 10:56:40 | INFO | noisyvideo | start noise=jpeg_artifact
2026-03-20 10:56:43 | INFO | noisyvideo | processed video=sample_blazes.mp4 noise=jpeg_artifact psnr=27.584943771362305 ssim=0.8105024099349976
2026-03-20 10:56:43 | INFO | noisyvideo | start noise=bit_error
2026-03-20 10:56:47 | INFO | noisyvideo | processed video=sample_blazes.mp4 noise=bit_error psnr=23.710250854492188 ssim=0.858733057975769
2026-03-20 10:56:47 | INFO | noisyvideo | start noise=h265_compression
2026-03-20 10:56:55 | INFO | noisyvideo | processed video=sample_blazes.mp4 noise=h265_compression psnr=32.032039642333984 ssim=0.9200038313865662
2026-03-20 10:56:55 | INFO | noisyvideo | done processed=36 failed=0
